Title,Character,Manually Added Aliases,Gender,Race/Ethnicity,Annotator Notes,Source,,,
catch 22 - heller,Yossarian,,M,"MENA, White",Assyrian & Armenian heritage,wikipedia,,,
catch 22 - heller,the chaplain,,M,White (unmarked),"""He is a naïve Anabaptist minister from Kenosha, Wisconsin"" unmarked",wikipedia,,,
catch 22 - heller,Milo,,M,White (unmarked),played by white actors in film adaptations ,wikipedia,,,
catch 22 - heller,Colonel Cathcart,,M,White (unmarked),played by white actors in film adaptations ,wikipedia,,,
house of the scorpion - farmer,Matt,,M,Latino/a/x,"""This story is set in the country of Opium, a narrow strip of land between Mexico (now called Aztlán), and the United States, which is ruled by the original Matteo Alacrán, or El Patrón, an incredibly powerful drug lord, who is over 140 years old. Opium consists of several drug-producing Farms, the Alacrán estate (which produces opium poppies) being the largest and where some of the Alacrán family stay.""

""The protagonist, Matt, is a clone of El Patrón.""",wikipedia,,,
house of the scorpion - farmer,Maria,,F,Latino/a/x,"""black hair and olive skin"", surname is ""Mendoza"", mother's name is Esperanza (Spanish name), also fits book's setting",LitCharts,,,
house of the scorpion - farmer,Celia,,F,Latino/a/x,"""She comes from the same village in Aztlán as El Patrón""",LitCharts,,,
house of the scorpion - farmer,El Patron,,M,Latino/a/x,Story takes place in a futuristic country between Mexico and the U.S.,wikipedia,,,
house of the scorpion - farmer,Tam Lin,,M,White,"""He had the same wavy, brown hair and blue eyes"", ""Tam Lin often talked to him about his childhood in Scotland""",book,,,
main street - lewis,Carol,,F,White (unmarked),"No mention of race in 1920s small town Minnesota, some book covers feature white-looking woman",book,,,
main street - lewis,Vida,,F,White,"""despite Vida Sherwin’s lively blue eyes,""",book,,,
of beetles and angels - asgedom,I,Mawi Asgedom,M,Black,"""Read the remarkable true story of a young boy's journey from civil war in east Africa to a refugee camp in Sudan, to a childhood on welfare in an affluent American suburb, and eventually to a full-tuition scholarship at Harvard University.""",Goodreads,,,
of beetles and angels - asgedom,my father,,M,Black,"""Read the remarkable true story of a young boy's journey from civil war in east Africa to a refugee camp in Sudan, to a childhood on welfare in an affluent American suburb, and eventually to a full-tuition scholarship at Harvard University.""",Goodreads,,,
of beetles and angels - asgedom,Tewolde,,M,Black,"""I may or may not remember seeing my mother look at our house in Adi Wahla, Ethiopia, just before we left. Gazing at it as though it were a person whom she loved and cherished. Trancewalking to the house's white exterior, laying her hands on it for a few moments, feeling its heartbeat — feeling her own heartbeat — then kissing it, knowing that she might never see it again.

I remember playing soccer with rocks, and a strange man telling me and my brother Tewolde that we had to go on a trip,`",Goodreads,,,
jungle - sinclair,Jurgis,,M,White,"""Jurgis Rudkus marries his fifteen-year-old sweetheart, Ona Lukoszaite, in a joyous traditional Lithuanian wedding feast. They and their extended family have recently immigrated to Chicago due to financial hardship in Lithuania (then part of the Russian Empire).""",Wikipedia,,,
jungle - sinclair,Ona,,F,White,"""Jurgis Rudkus marries his fifteen-year-old sweetheart, Ona Lukoszaite, in a joyous traditional Lithuanian wedding feast. They and their extended family have recently immigrated to Chicago due to financial hardship in Lithuania (then part of the Russian Empire).""",Wikipedia,,,
vicar of wakefield - goldsmith,I,Charles Primrose,M,White,depicted as white in painting related to book,Wikipedia,,,
vicar of wakefield - goldsmith,my wife,,F,White,depicted as white in painting related to book,Wikipedia,,,
moby dick - melville,I,Ishmael,M,White (unmarked),played by white actors in popular media adaptations,wikipedia,,,
moby dick - melville,Ahab,,M,White (unmarked),played by white actors in popular media adaptations,wikipedia,,,
moby dick - melville,Stubb,,M,White (unmarked),played by white actors in popular media adaptations,wikipedia,,,
moby dick - melville,Queequeg,,M,Pacific Islander,"""so he must share a bed with the tattooed cannibal Polynesian Queequeg""",wikipedia,,,
skin i m in - flake,I,Maleeka Madison,F,Black,"""A poor African-American girl who feels she is unpopular at her middle school because of her dark skin color and teenage clothes.""",Wikipedia,,,
skin i m in - flake,Miss Saunders,,F,Black,The author adapted a version of the book for stage and the casting call requested a black actress to play Miss Saunders,"https://www.pittsburghmagazine.com/watch-this-weekend-a-world-premiere-adaptation/, https://www.backstage.com/casting/the-skin-im-in-344046/",,,
skin i m in - flake,Char,,F,Black,The stage adaptation (by the author) for a Pittsburgh theater has a visibly all-black cast,LitCharts,,,
skin i m in - flake,Momma,,F,Black,main character's mother,book,,,
skin i m in - flake,John,,M,Black,"""John-John is so small that most fifth graders can see over his head, despite his being in seventh grade. She also explains, “He’s my color, but since second grade he’s been teasing me about being too black.”",book,,,
skin i m in - flake,Caleb,,M,Black,"""“That half-white punk,” John-John says, knowing full well Caleb ain’t mixed.""","book, https://www.facebook.com/AlumniTheaterCompany/photos/a.731100840250721/3417840528243392/?type=3",,,
bend in the river - naipaul,I,Salim,M,Asian,"""the book is narrated by Salim, an ethnically Indian Muslim""",Wikipedia,,,
bend in the river - naipaul,Ferdinand,,M,Black,"""Zabeth has a son, Ferdinand, by a man of another tribe, and asks Salim to help him get educated."" ""One of his steady customers is Zabeth, a ""marchande"" from a village"" Book takes place on ""east coast of Africa""",Wikipedia,,,
bend in the river - naipaul,Indar,,M,Asian,"""Salim is visited by Indar, who grew up with him on the east coast, then went to England to study and now has become a lecturer at the new institution."" ""Salim grows up in the community of Indian traders"" ",Wikipedia,,,
bend in the river - naipaul,Yvette,,F,White,"""Raymond’s wife. Nearly thirty years her husband’s junior, Yvette is a beautiful Belgian woman who strives to keep up an appearance of glamor but secretly feels disappointed with the course of her life.",Sparknotes,,,
bend in the river - naipaul,Metty,,M,"Black, Asian","""the blood of Asia had been added to those people. Mustafa had the blood of Gujarat in his veins; so had Metty"" ""Metty, the half-African boy who had grown up in my family’s house""",book,,,
bend in the river - naipaul,Raymond,,M,White,"""Raymond is a European historian who has lived and taught in Africa for many years. ",Sparknotes,,,
mrs dalloway - woolf,Clarissa,,F,White,"""For the Dalloways, in general, were fairhaired; blue-eyed""",book,,,
mrs dalloway - woolf,Peter,,M,White (unmarked),"""Peter did, that he had no heart, no brain, nothing but the manners and breeding of an English gentleman, that was only her dear Peter at his worst; and he could be intolerable; he could be impossible; but adorable to walk with on a morning like this."" ",book,,,
mrs dalloway - woolf,Septimus,,M,White,"""Septimus Warren Smith, aged about thirty, pale-faced, beak-nosed, wearing brown shoes and a shabby overcoat, with hazel eyes which had that look of apprehension in them which makes complete strangers apprehensive too.""",book,,,
mrs dalloway - woolf,Elizabeth,,F,White,"Clarissa and Richard’s only child. Though the character is described as an ""Oriental"" mystery, other parts of the book seem to imply the entire Dalloway family is white, and this character is played by a dark-haired, white English actress","book, https://muse.jhu.edu/article/54069",,,
mrs dalloway - woolf,Richard,,M,White,"""For the Dalloways, in general, were fairhaired; blue-eyed""",book,,,
mrs dalloway - woolf,Miss Kilman,,F,White,"""But Miss Kilman did not hate Mrs. Dalloway. Turning her large gooseberry-coloured [green] eyes upon Clarissa""",book,,,
mrs dalloway - woolf,he,,M,N/A,N/A,N/A,,,
wuthering heights - bronte,I,Nelly,F,White (unmarked),played by white woman in adaptations,wikipedia,,,
wuthering heights - bronte,Catherine,,F,White,"""observing on the floor a curl of light hair, fastened with a silver thread; which, on examination, I
ascertained to have been taken from a locket hung round Catherine's neck."" Also played by white women in adaptations. ","book, wikipedia",,,
wuthering heights - bronte,Heathcliff,,M,"White, Black","""Heathcliff may have been of mixed race because he is described in the original book as a ""dark-skinned gipsy"" and ""a little Lascar"" – a 19th-century term for Indian sailors."" The main character does say to Heathcliff: ""if you were a regular black..."" There is some discussion that earlier castings of Heathcliff as white may have been ""race-lifting"", e.g. the act of turning non-white characters white in adaptations, and Heathcliff has been implied in some adaptations as being Black or the mix-raced son of a white man who had an affair with a black women. ","Wikipedia, https://theconversation.com/was-emily-bront-s-heathcliff-black-85341",,,
wuthering heights - bronte,Linton,,M,White,"in reference to Edgar Linton: ""I wish I had light hair and a fair skin, and was dressed and behaved as well, and had a chance of being as rich as he will be!'""",book,,,
wuthering heights - bronte,Hareton,,M,White,"""The son of Hindley and Frances"" ""Catherine's elder brother, Hindley"", Frances is a minor unmarked character",book,,,
there there - orange,I,,N/A,N/A,N/A,N/A,,,
there there - orange,Jacquie,,F,Native/Indigenous,"""Jacquie and her half-sister Opal Viola Victoria Bear Shield recall their childhood experiences in the American Indian Movement's occupation of Alcatraz island""",Wikipedia,,,
there there - orange,Dene,,M,Native/Indigenous,"""Dene wants to tell him it’s what happened to Native people, he wants to explain that they’re not the same, that Dene is Native, born and raised in Oakland, from Oakland.""",book,,,
there there - orange,Opal,,F,Native/Indigenous,"""Jacquie and her half-sister Opal Viola Victoria Bear Shield recall their childhood experiences in the American Indian Movement's occupation of Alcatraz island""",Wikipedia,,,
there there - orange,Orvil,,M,Native/Indigenous,"""A fourteen-year-old Native boy""",litcharts,,,
there there - orange,Tony Loneman,,M,Native/Indigenous,"""Tony is a twenty-year-old Native man grappling with multiple complicated inheritances–some physical, others cultural–as he explores what it means to be Native American""",Sparknotes,,,
there there - orange,Edwin Black,,M,"Native/Indigenous, White (unmarked)","""Edwin Black is an isolated, frustrated, and confused half-Native young man who lives at home with his mother and spends most of his life getting lost on the internet""",Litcharts,,,
there there - orange,Calvin Johnson,,M,Native/Indigenous,"""A native man on the powwow committee at the local Indian Center in Oakland""",Litcharts,,,
there there - orange,Blue,,F,Native/Indigenous,"""The child of Jacquie Red Feather and Harvey, Blue was adopted at birth by a wealthy white family""",Litcharts,,,
plague - camus,Rieux,,M,MENA,"""Dark, steady eyes, but prominent jaws. A biggish, well-modeled nose. Black hair, cropped very close. A curving mouth with thick, usually tight-set lips. With his tanned skin, the black down on his hands and arms, the dark but becoming suits he always wears, he reminds one of a Sicilian peasant."" Rieux lives in Oran, a city in the northern part of Algeria (Northern Africa)",book,,,
plague - camus,Tarrou,,M,White,"""He looked up, and his gray eyes remained fixed on the doctor for some moments"" no mention of race, novel originates from France",book,,,
plague - camus,Rambert,,M,White (unmarked),"""Raymond Rambert is a journalist who is visiting Oran to research a story on the standards of living in the Arab colony of Oran. When the plague strikes, he finds himself trapped in a city with which he feels he has no connection. He misses his girlfriend who is in Paris"", from which he originates",Wikipedia,,,
plague - camus,Grand,,M,White (unmarked),"no mention of race, novel originates from France",book,,,
plague - camus,Cottard,,M,White (unmarked),"no mention of race, novel originates from France",book,,,
plague - camus,the doctor,,M,White (unmarked),"no mention of race, novel originates from France",book,,,
oranges are not the only fruit - winterson,I,Jeanette,F,White (unmarked),"book is semi-autobiographical, takes place in England, author is white-appearing, characters are played by white-appearing English actors in TV adaptation",wikipedia,,,
oranges are not the only fruit - winterson,my mother,,F,White (unmarked),"book is semi-autobiographical, takes place in England, author is white-appearing, characters are played by English actors in TV adaptation",wikipedia,,,
oranges are not the only fruit - winterson,Winnet,,F,White (unmarked),"""The story of Winnet is a parable that symbolizes the story of Jeanette’s life. Winnet and Jeanette even rhyme."" Jeanette is the English, white-appearing author of this book",litcharts,,,
oranges are not the only fruit - winterson,Melanie,,F,White (unmarked),"book is semi-autobiographical, takes place in England, author is white-appearing, characters are played by white-appearing English actors in TV adaptation",wikipedia,,,
broken for you - kallos,Margaret,,F,White,"""Margaret’s eyes, though, were the real surprise. They were shimmering, reflective. The turquoise of a glacial lake on the fairest day of summer."" No mention of race",book,,,
broken for you - kallos,Wanda,,F,White,"wandas mother is described as ""Blue eyes, gray hair, nice smile. You know . . . motherly.”",book,,,
broken for you - kallos,Troy,,M,White (unmarked),No description of race in a book that takes place in Seattle. White-appearing author also lives in Seattle ,book,,,
howards end - forster,Margaret,,F,White,"""a 29- year-old woman of mixed English and German heritage living in London""",sparknotes,,,
howards end - forster,Helen,,F,White,"Margaret's sister, and Margaret is mixed English and German",sparknotes,,,
howards end - forster,Henry,,M,White (unmarked),"""The patriarch of the Wilcox family, a prominent businessman in London"", English upper class in book published in 1910",sparknotes,,,
howards end - forster,Mr. Wilcox,,M,White,"""The story revolves around three families in England at the beginning of the 20th century: the Wilcoxes, rich capitalists with a fortune made in the colonies""",wikipedia,,,
howards end - forster,Leonard,,M,White (unmarked),"no mention of race, book is published in 1910 and takes place in England",book,,,
bodega dreams - quinonez,I,Julio,M,Latino/a/x,"""When Julio is young, his white teachers at school discriminate against him because they believe that Latinx children won’t amount to anything.""",Litcharts,,,
bodega dreams - quinonez,Bodega,,M,Latino/a/x,head of a Puerto Rican drug operation,book,,,
bodega dreams - quinonez,Blanca,,F,Latino/a/x,"""Blanca is a young Latinx woman who’s married to Julio""",litcharts,,,
bodega dreams - quinonez,Sapo,,M,Latino/a/x,"""So, since we were almost convinced that our race had no culture, no smart people, we behaved even worse."" Julio speaking to Sapo",book,,,
bodega dreams - quinonez,Nazario,,M,Latino/a/x,"""Nazario the lawyer and his sidekick Julio College, both Ricans helping Ricans.”",book,,,
bodega dreams - quinonez,Vera,,F,Latino/a/x,"""Like John Vidal, Vera tries to mask her Latinx heritage by changing her name from “Veronica” to “Vera,” dyeing her hair blonde, and pretending that she comes from money.""",litcharts,,,
circe - miller,I,Circe,F,White,"""Set during the Greek Heroic Age, it is an adaptation of various Greek myths, most notably the Odyssey, as told from the perspective of the witch Circe""",Wikipedia,,,
circe - miller,Telemachus,,M,White,"""Set during the Greek Heroic Age, it is an adaptation of various Greek myths, most notably the Odyssey, as told from the perspective of the witch Circe"" Telemachus is a figure in Greek mythology",Wikipedia,,,
circe - miller,my father,,M,White,"Circe's father is Helios, a Greek god",Wikipedia,,,
circe - miller,Telegonus,,M,White,"son of Circe and Odysseus, a person in Greek mythology",Wikipedia,,,
educated - westover,I,Tara Westover,F,White (unmarked),"""Westover was the youngest of seven children born in Clifton, Idaho (population 259) to Mormon survivalist parents.""",Wikipedia,,,
educated - westover,Dad,,M,White (unmarked),part of Westover's Mormon family,Wikipedia,,,
educated - westover,Mother,,F,White (unmarked),part of Westover's Mormon family,Wikipedia,,,
educated - westover,Shawn,,M,White (unmarked),"Tara's brother, in Mormon family",Wikipedia,,,
dear martin - stone,Jus,,M,Black,"""After the incident, Justyce attempts to make sense of life as a black teenager in the current political climate""",wikipedia,,,
dear martin - stone,I,Jus,M,Black,narrator is a black teenager,book,,,
dear martin - stone,Justyce,,M,Black,"narrator is a black teenager, Jus is short for Justyce",book,,,
dear martin - stone,Manny,,M,Black,"""Manny Rivers, a wealthy, black Braselton Prep student,""",Sparknotes,,,
dear martin - stone,SJ,,F,White,"""SJ, and Manny’s friend, Jared Christensen, both of whom are white,""",Sparknotes,,,
dear martin - stone,Jared,,M,White,"""SJ, and Manny’s friend, Jared Christensen, both of whom are white,""",Sparknotes,,,
dear martin - stone,Doc,,M,"Black, White (unmarked)","""He’s the only (half) black guy Jus knows with a PhD, and Jus really looks up to him.""",book,,,
housekeeping a novel - robinson,Sylvie,,F,White (unmarked),"""She had wavy brown hair fastened behind her ears with pins, and as she stood there, she smoothed the stray hairs back, making herself neat for us. Her hair was wet, her hands were red and withered from the cold, her feet were bare except for loafers."" story takes place in Idaho, no mention of race",book,,,
housekeeping a novel - robinson,I,"Ruth Stone, Ruthie",F,White (unmarked),"""brushed my short brown hair into long golden ringlets""
story takes place in Idaho in a town similar to the author's hometown, author visibly looks white",book,,,
housekeeping a novel - robinson,Lucille,,F,White,"""Sylvie did tell me once that Lucille would mature before I did because she had red hair"" story takes place in Idaho with no found mention of race",book,,,
housekeeping a novel - robinson,my grandmother,,F,White (unmarked),grandmother of white narrator,book,,,
sula - morrison,Sula,,F,Black,"""Together, they create an unforgettable portrait of what it means and costs to be a black woman in America.""",goodreads,,,
sula - morrison,Nel,,F,Black,"""Together, they create an unforgettable portrait of what it means and costs to be a black woman in America.""",goodreads,,,
sula - morrison,Eva,,F,Black,"""Sula's grandmother""",Wikipedia,,,
sula - morrison,Shadrack,,M,Black,"""There in the toilet water he saw a grave black face. A black so definite, so unequivocal, it astonished him. ... Shadrack rose and returned to the cot, where he fell into the first sleep of his new life.""",Litcharts,,,
warmth of other suns - wilkerson,Robert,,M,Black,"""He is a Californian now, this Robert Joseph Pershing Foster. He is the color of strong coffee and has waves in his hair"" Also, story focuses on African Americans during the Great Migration",book,,,
warmth of other suns - wilkerson,George,,M,Black,"""Only, George was paying the price for tormenting the ruling class that owned the citrus groves. There was no place in the Jim Crow South for a colored starling like him.""",book,,,
warmth of other suns - wilkerson,Ida Mae,,F,Black,"""Ida Mae and other colored children in rural Mississippi didn’t start school until the cotton was picked""",book,,,
first they killed my father - ung,I,Loung Ung,F,Asian,book is a memoir of a survivor of a Cambodian genocide,book,,,
first they killed my father - ung,Ma,,F,Asian,"""At 5’6”, Ma is an amazon among Cambodian women. Ma says she’s so tall because she’s all Chinese.""",book,,,
first they killed my father - ung,Pa,,M,Asian,"""Pa is part Cambodian and part Chinese """,book,,,
first they killed my father - ung,Kim,,M,Asian,"""Kim, whose name in Chinese means “gold,” is my ten-year-old brother.""",book,,,
all american boys - reynolds,I,,N/A,N/A,N/A,N/A,,,
all american boys - reynolds,Paul,,M,White,"""Oh, so just because Officer Galluzzo’s white, everybody’s mad now?"" Paul Galluzzo is a police officer",book,,,
all american boys - reynolds,Guzzo,,M,White,"""The cop was white and it took me a second to recognize him, because his face was angled down the whole time, but then, when he raised his head for a second, I realized right away it was Guzzo’s older brother, Paul.""",book,,,
all american boys - reynolds,Rashad,,M,Black,"""The novel switches between the perspective of a black boy, Rashad, written by Jason Reynolds, and a white boy, Quinn, written by Brendan Kiely.""",wikipedia,,,
all american boys - reynolds,Quinn,,M,White,"""The novel switches between the perspective of a black boy, Rashad, written by Jason Reynolds, and a white boy, Quinn, written by Brendan Kiely.""",wikipedia,,,
cry the beloved country - paton,I,,N/A,N/A,N/A,N/A,,,
cry the beloved country - paton,Kumalo,,M,Black,"""The story begins in the village of Ixopo Ndotsheni, where the black priest Stephen Kumalo receives a letter""",Wikipedia,,,
ender s game - card,Ender,,M,White,Ender is Peter's brother,book,,,
ender s game - card,Peter,,M,White,"""Ender did not see Peter as the beautiful ten-year-old boy that grown-ups saw, with dark, thick, tousled hair and a face that could have belonged to Alexander the Great."" Alexander the Great is a white historical figure",book,,,
ender s game - card,Valentine,,F,White,Valentine is Peter's sister,book,,,
ender s game - card,I,,N/A,N/A,N/A,N/A,,,
brothers karamazov - dostoevsky,Alyosha,,M,White,"Story takes place in Russia with very Russian names and families, derived from context",book,,,
brothers karamazov - dostoevsky,Mitya,,M,White,"Story takes place in Russia with very Russian names and families, derived from context",book,,,
brothers karamazov - dostoevsky,Ivan,,M,White,"Story takes place in Russia with very Russian names and families, derived from context",book,,,
brothers karamazov - dostoevsky,Grushenka,,F,White,"""She was very white in the face, with a pale pink tint on her cheeks."" ""her magnificent, abundant dark brown hair, her sable‐colored eyebrows and charming gray‐blue eyes with their long lashes""",book,,,
nigger - gregory,I,"Dick Gregory, Gregory",M,Black,"""Gregory moved to Chicago, Illinois, where he became part of a new generation of black comedians""",Wikipedia,,,
nigger - gregory,Momma,,F,Black,"""You didn't die a slave for nothing, Momma. You brought us up. You and all those Negro mothers who gave their kids the strength to go on""",Wikipedia,,,
nigger - gregory,Lil,,F,Black,"""Gregory met his future wife Lillian Gregory at an African-American club""",Wikipedia,,,
sorrows of young werther - goethe,I,Werther,M,White (unmarked),"""It was one of the main novels in the Sturm und Drang period in German literature, and influenced the later Romantic movement."" 18th century novel, no mentions of race found",Wikipedia,,,
sorrows of young werther - goethe,Charlotte,,F,White (unmarked),"""It was one of the main novels in the Sturm und Drang period in German literature, and influenced the later Romantic movement."" 18th century novel, no mentions of race found",Wikipedia,,,
sorrows of young werther - goethe,Werther,,M,White (unmarked),"""It was one of the main novels in the Sturm und Drang period in German literature, and influenced the later Romantic movement."" 18th century novel, no mentions of race found",Wikipedia,,,
sorrows of young werther - goethe,Albert,,M,White (unmarked),"""It was one of the main novels in the Sturm und Drang period in German literature, and influenced the later Romantic movement."" 18th century novel, no mentions of race found",Wikipedia,,,
thousand splendid suns - hosseini,Laila,,F,MENA,"""To me, it’s nonsense—and very dangerous nonsense at that—all this talk of Pm Tajik and you’re Pashtun and he’s Hazara and she’s Uzbek. We’re all Afghans, and that’s all that should matter."" - Babi to Laila",book,,,
thousand splendid suns - hosseini,Mariam,,F,MENA,"""Mariam, an ethnic Tajik born in Herat in 1959.""",wikipedia,,,
thousand splendid suns - hosseini,Rasheed,,M,MENA,"""Rasheed, an ethnic Pashtun from Kabul who works as a shoemaker.""",wikipedia,,,
thousand splendid suns - hosseini,Tariq,,M,MENA,"""Tariq’s people, the Pashtuns, who were the largest ethnic group in Afghanistan.""",book,,,
alias grace - atwood,I,Grace Marks,F,White,"based on a real person, ""Grace Marks (c. July 1828 – after c. 1873) was an Irish-Canadian maid""",wikipedia,,,
alias grace - atwood,Simon,,M,White (unmarked),"""Simon will have to trot out his own European credentials""",book,,,
alias grace - atwood,Grace,,F,White,"based on a real person, ""Grace Marks (c. July 1828 – after c. 1873) was an Irish-Canadian maid""",wikipedia,,,
alias grace - atwood,McDermott,,M,White (unmarked),"""He was reputed to be a rough character, a rebellious Irishman, resentful of the English.""",wikipedia,,,
alias grace - atwood,Nancy,,F,White (unmarked),"""Nancy is Thomas Kinnear’s housekeeper and lover"" no mention of race",litcharts,,,
alias grace - atwood,Mary,,F,White (unmarked),no description of race,book,,,
all the pretty horses - mccarthy,I,,N/A,N/A,N/A,N/A,,,
all the pretty horses - mccarthy,John Grady,,M,White,"""John Grady acts as a prototype of the
emasculated late 20 th-century white American man""",https://www.jstor.org/stable/10.5325/cormmccaj.12.69,,,
all the pretty horses - mccarthy,Rawlins,,M,White (unmarked),no description of race,wikipedia,,,
all the pretty horses - mccarthy,the captain,,M,Latino/a/x,"""A Mexican official""",Sparknotes,,,
all the pretty horses - mccarthy,Blevins,,M,White (unmarked),"no description of race, ""Blevins' origins and the authenticity of his name are never quite clarified.""",wikipedia,,,
angle of repose - stegner,I,Robert Jordan,M,White (unmarked),no description of race,wikipedia,,,
angle of repose - stegner,Susan,,F,White (unmarked),no description of race,wikipedia,,,
angle of repose - stegner,Oliver,,M,White (unmarked),no description of race,wikipedia,,,
angle of repose - stegner,Grandmother,,F,White (unmarked),narrator's grandmother,wikipedia,,,
for whom the bell tolls - hemingway,Robert Jordan,,M,White,"""Robert Jordan is an American, formerly a professor of Spanish language at the University of Montana. He had lived in prewar Spain, and fights as an irregular soldier for the Republic against Francisco Franco's fascist forces. """,Wikipedia,,,
for whom the bell tolls - hemingway,Pablo,,M,White,"""Leader of a group of anti-fascist guerrillas."" in spanish civil war",Wikipedia,,,
for whom the bell tolls - hemingway,Pilar,,F,White,"""Pablo's wife. An aged but strong woman, she is the de facto leader of the guerrilla band."" in spanish civil war",Wikipedia,,,
for whom the bell tolls - hemingway,Maria,,F,White,"""In the camp, Jordan encounters María, a young Spanish woman whose life has been shattered by her parents' execution and her rape at the hands of the Falangists (part of the fascist coalition) at the outbreak of the war.""",Wikipedia,,,
for whom the bell tolls - hemingway,I,,N/A,N/A,N/A,N/A,,,
prayer for owen meany - irving,I,John Wheelwright,M,White (unmarked),"""The story is narrated by John Wheelwright, a former citizen of New Hampshire who has become a voluntary expatriate from the United States, having settled in Toronto and taken on Canadian citizenship."" No mention of race",wikipedia,,,
prayer for owen meany - irving,Owen,,M,White (unmarked),"""it tells the story of John Wheelwright and his best friend Owen Meany growing up together in a small New Hampshire town during the 1950s and 1960s."" No mention of race",wikipedia,,,
prayer for owen meany - irving,Hester,,F,White (unmarked),"John's cousin, no mention of race",book,,,
prayer for owen meany - irving,my mother,,F,White (unmarked),"John's mother, no mention of race",book,,,
prayer for owen meany - irving,Dan,,M,White,"""Dan Needham, who was tall and gawky, with curly carrot-colored hair, and who wore eyeglasses that were too small for his egg-shaped face—the perfectly round lenses giving him the apprehensive, hunting expression of a large, mutant owl."" no mention of race ",book,,,
count of monte cristo - dumas,the count,,M,White,"character in French novel published in 1844, white-appearing in illustrations associated with book",wikipedia,,,
count of monte cristo - dumas,Monte Cristo,,M,White,"character in French novel published in 1844, white-appearing in illustrations associated with book",wikipedia,,,
count of monte cristo - dumas,Dantès,,M,White,"character in French novel published in 1844, white-appearing in illustrations associated with book. Alias merging evidence: ""Dantès escapes and finds the treasure. As the powerful and mysterious Count of Monte Cristo, he""",wikipedia,,,
count of monte cristo - dumas,Albert,,M,White (unmarked),"""Albert introduces the Count to Parisian high society."" High society implies high social status in Paris. Otherwise, no race-associated description",Wikipedia,,,
count of monte cristo - dumas,Morrel,,M,White (unmarked),No race-associated description,book,,,
house of seven gables - hawthorne,Phoebe,,F,White,"""The novel follows a New England family and their ancestral home."" No mention of race but the family is linked to colonial America and Phoebe is a ""distant relative"" of the family which includes Judge Pyncheon",Wikipedia,,,
house of seven gables - hawthorne,Clifford,,M,White,"""The novel follows a New England family and their ancestral home."" ""Hepzibah Pyncheon, opens a shop in a side room to support her brother Clifford"" No mention of race but the family is linked to colonial America. ",Wikipedia,,,
house of seven gables - hawthorne,Hepzibah,,F,White,"""The novel follows a New England family and their ancestral home."" ""Hepzibah Pyncheon, opens a shop in a side room to support her brother Clifford"" No mention of race but the family is linked to colonial America.",Wikipedia,,,
house of seven gables - hawthorne,Holgrave,,M,White (unmarked),"book takes place in mid-19th century in Boston with no explicit mention of race, portrayed by white actor in film adaptation ",wikipedia,,,
house of seven gables - hawthorne,Miss Hepzibah,,F,White,"""The novel follows a New England family and their ancestral home."" ""Hepzibah Pyncheon, opens a shop in a side room to support her brother Clifford"" No mention of race but the family is linked to colonial America.",Wikipedia,,,
house of seven gables - hawthorne,Judge Pyncheon,,M,White,"""Then the Judge's face had lost the ruddy English hue that showed its warmth through all the duskiness of the Colonel's weather-beaten cheek, and had taken a sallow shade, the established complexion of his countrymen.""",book,,,
age of innocence - wharton,Archer,,M,White,"""Newland Archer, gentleman lawyer and heir of one of New York City's most illustrious families"" ""The story is set in the 1870s, in upper-class, ""Gilded Age"" New York City."" some book covers depict white-appearing woman",Wikipedia,,,
age of innocence - wharton,Madame Olenska,,F,White,"""She was excessively pale, and her pallor made her dark hair seem denser and heavier than ever."" no mention of race",book,,,
age of innocence - wharton,Mr. Archer,,M,White,"""Newland Archer, gentleman lawyer and heir of one of New York City's most illustrious families"" ""The story is set in the 1870s, in upper-class, ""Gilded Age"" New York City."" some book covers depict white-appearing woman",Wikipedia,,,
age of innocence - wharton,the young man,,M,White,"""Newland Archer, gentleman lawyer and heir of one of New York City's most illustrious families"" ""The story is set in the 1870s, in upper-class, ""Gilded Age"" New York City."" some book covers depict white-appearing woman",Wikipedia,,,
age of innocence - wharton,Newland,,F,White,"""May: a warm pink mounted to the girl's cheek, mantled her brow to the roots of her fair braids"" no mention of race",book,,,
men we reaped - ward,I,Jesmyn,F,Black,"""Men We Reaped is a memoir by the African-American writer Jesmyn Ward""",wikipedia,,,
men we reaped - ward,Joshua,,M,Black,"""All are Black men between the ages of 19–32, including her brother, Joshua, killed by a white drunk driver.""",wikipedia,,,
men we reaped - ward,my mother,,F,Black,mother of Jesmyn,wikipedia,,,
men we reaped - ward,my father,,M,Black,"father of Jesmyn, ""She also learns that for her male relatives, being Black is dangerous in America, as her mother and grandmother worry about them being arrested or experiencing violence.",wikipedia,,,
men we reaped - ward,C. J.,,M,Black,"""Five men in Ward's life die in the space of four years. All are Black men between the ages of 19–32"", ""The men ""reaped"" in the book, narrated in reverse of the order in which they died:, ... C.J.: Ward's cousin. An athletic young man, loyal and protective but who also exhibits erratic behavior and does drugs. He is killed when his car is hit by a train, at a crossing with broken signal lights.""",wikipedia,,,
autobiography of an ex colored man - johnson,I,unnamed,M,"Black, White","""Born shortly after the Civil War in a small Georgia town, the narrator's African-American mother protected him as a child and teenager. The narrator's father, a wealthy white member of the Southern aristocracy, is absent throughout the narrator's childhood but, nevertheless, continues to provide financial support for the narrator and his mother.""",wikipedia,,,
