Author,Gender,Race/Ethnicity,Unmarked White?,Annotator Notes,Source
Jeff Garvin,M,White,Y,"""Jeff Garvin is a writer and actor from Orange County, California. He has made guest star appearances on network TV and independent films spanning three decades. Jeff is also as an award-winning author.""",https://www.imdb.com/name/nm0308807/bio
Jeffrey Eugenides,M,White,,"""Eugenides was born in Detroit, Michigan to a father of Greek descent and a mother of English and Irish ancestry""",https://en.wikipedia.org/wiki/Jeffrey_Eugenides
Jesmyn Ward,F,Black,,"""She is the only woman and only African American to win the National Book Award for Fiction twice.",https://en.wikipedia.org/wiki/Jesmyn_Ward
Jhumpa Lahiri,F,Asian,,"""Lahiri was born in London, the daughter of Indian immigrants from the Indian state of West Bengal.",https://en.wikipedia.org/wiki/Jhumpa_Lahiri
Johann Wolfgang von Goethe,M,White,,"""Goethe was one of the very few figures of Germany’s 18th-century literary renaissance who were, in the full sense of the term, bourgeois.",https://www.britannica.com/biography/Johann-Wolfgang-von-Goethe
John E. Wideman,M,Black,,"""he became the second African American to win a Rhodes Scholarship",https://en.wikipedia.org/wiki/John_Edgar_Wideman
John Gardner,M,White,Y,"""John Champlin Gardner Jr. (July 21, 1933 – September 14, 1982) was an American novelist, essayist, literary critic and university professor. ",https://en.wikipedia.org/wiki/John_Gardner_(American_writer)
John Green,M,White,,"""The thing is, we can’t pretend John Green’s whiteness, his maleness, and his heterosexuality aren’t central to his brand.""",https://bookriot.com/blindingly-white-bookcon-john-green-speak-up/
John Irving,M,White,,"""New England pale-face, novelist John Irving, has taken a stand""",https://www.latimes.com/archives/la-xpm-1994-09-04-bk-34461-story.html
John Knowles,M,White,Y,"""Knowles was born on September 17, 1926"" ""His father was a coal company executive""",https://en.wikipedia.org/wiki/John_Knowles
John Steinbeck,M,White,,"""He was of German, English, and Irish descent",https://en.wikipedia.org/wiki/John_Steinbeck
Jon Krakauer,M,White,,""" His father was Jewish and his mother was a Unitarian of Scandinavian descent.""",https://en.wikipedia.org/wiki/Jon_Krakauer
Jonathan Safran Foer,M,White,,"""Safran Foer is the middle son of a Jewish family. """,https://en.wikipedia.org/wiki/Jonathan_Safran_Foer
Jonathan Swift,M,White,,"""Jonathan Swift was born on 30 November 1667 in Dublin in the Kingdom of Ireland."" ""His father was a native of Goodrich, Herefordshire"" ""His maternal grandfather, James Ericke, was the vicar of Thornton in Leicestershire""",https://en.wikipedia.org/wiki/Jonathan_Swift
Jose Antonio Villarreal,M,Latino/a/x,,"""José Antonio Villarreal (30 July 1924 – 13 January 2010) was an American Chicano novelist.""",https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Villarreal
Joseph Conrad,M,White,,"""almost all the countryside was owned by the Polish szlachta (nobility), to which Conrad's family belonged as bearers of the Nałęcz coat-of-arms""",https://en.wikipedia.org/wiki/Joseph_Conrad
Joseph Heller,M,White,,"""Heller was born on May 1, 1923 in Coney Island in Brooklyn, New York,[4][5] the son of poor Jewish parents, Lena and Isaac Donald Heller,[6] from Russia""",https://en.wikipedia.org/wiki/Joseph_Heller
Joshua Davis,M,White,Y,"""Davis is the son of Miss Nevada winner Janet Hadland and Highlander film producer Peter S. Davis.""",https://en.wikipedia.org/wiki/Joshua_Davis_(writer)
Joy Kogawa,F,Asian,,"""Joy Nozomi Kogawa CM OBC (born June 6, 1935) is a Canadian poet and novelist of Japanese descent""",https://en.wikipedia.org/wiki/Joy_Kogawa
Joyce Carol Oates,F,White,,"""Oates was born in Lockport, New York, the eldest of three children of Carolina (née Bush), a homemaker of Hungarian descent""",https://en.wikipedia.org/wiki/Joyce_Carol_Oates
Juan Gabriel Vásquez,M,Latino/a/x,,"""Juan Gabriel Vásquez (born in Bogotá on January 1, 1973) is a Colombian writer, journalist and translator.""",https://en.wikipedia.org/wiki/Juan_Gabriel_V%C3%A1squez
Julia Alvarez,F,Latino/a/x,,"""Many of Alvarez's works are influenced by her experiences as a Dominican-American""",https://en.wikipedia.org/wiki/Julia_Alvarez
Julie Otsuka,F,Asian,,"""Both of her parents were of Japanese descent, with her father being an issei and her mother being a nisei""",https://en.wikipedia.org/wiki/Julie_Otsuka
Junot Díaz,M,Latino/a/x,,"""Junot Díaz (/ˈdʒuːnoʊ/; born December 31, 1968) is a Dominican-American writer,""",https://en.wikipedia.org/wiki/Junot_D%C3%ADaz
Justin Torres,M,"Latino/a/x, White",,"""Justin Torres was born to a father of Puerto Rican descent and a mother of Italian and Irish descent""",https://en.wikipedia.org/wiki/Justin_Torres
Kacen Callender,X,Black,,"""Callender is Black, queer, trans, and uses they/them and he/him pronouns""",https://en.wikipedia.org/wiki/Kacen_Callender
Kao Kalia Yang,F,Asian,,"""Kao Kalia Yang (born 1980) is a Hmong American writer """,https://en.wikipedia.org/wiki/Kao_Kalia_Yang
Karla Cornejo Villavicencio,F,Latino/a/x,,"""Karla Cornejo Villavicencio (born 1989) is an Ecuadorian-American writer """,https://en.wikipedia.org/wiki/Karla_Cornejo_Villavicencio
Kate Chopin,F,White,,"""Of maternal French and paternal Irish descent, Chopin was born in St. Louis, Missouri.""",https://en.wikipedia.org/wiki/Kate_Chopin
Kathryn Stockett,F,White,,"""She is known for her 2009 debut novel, The Help, which is about African-American maids working in white households in Jackson, Mississippi, during the 1960s."" ""Reflective of her first novel, Stockett was very close to an African American domestic worker.""",https://en.wikipedia.org/wiki/Kathryn_Stockett
Kazuo Ishiguro,M,Asian,,"
Sir Kazuo Ishiguro OBE FRSA FRSL is a Japanese-British novelist, screenwriter, musician, and short-story writer. Ishiguro was born in Nagasaki, Japan, and moved to Britain in 1960 with his parents when he was five",https://en.wikipedia.org/wiki/Kazuo_Ishiguro
Kelly Parra,F,"Latino/a/x, White, Asian",,"""Kelly is multicultural. She went all out and had her DNA tested. Her nationalities are Mexican, Filipino, and Italian, with some light ancestorial markers in between.""",https://www.amazon.com/Graffiti-Girl-Kelly-Parra/dp/141653461X
Ken Kesey,M,White,Y,"Ken Elton Kesey was an American novelist, essayist and countercultural figure. He considered himself a link between the Beat Generation of the 1950s and the hippies of the 1960s. Kesey was born in La Junta, Colorado, and grew up in Springfield, Oregon, graduating from the University of Oregon in 1957.",https://en.wikipedia.org/wiki/Ken_Kesey
Khaled Hosseini,M,MENA,,"Khaled Hosseini is an Afghan-American novelist, UNHCR goodwill ambassador, and former physician. His debut novel The Kite Runner was a critical and commercial success; the book and his subsequent novels have all been at least partially set in Afghanistan and have featured an Afghan as the protagonist",https://khaledhosseini.com/
Kim Edwards,F,White,Y,"""Kim Edwards (born May 4, 1958) is an American author and educator. She was born in Killeen, Texas, grew up in the Finger Lakes region of upstate New York, and graduated from Colgate University and The University of Iowa""",https://en.wikipedia.org/wiki/Kim_Edwards
Kiran Desai,F,Asian,,"""Kiran Desai (born 3 September 1971) is an Indian author. """,https://en.wikipedia.org/wiki/Kiran_Desai
Kurt Vonnegut,M,White,,"""He had descended from German immigrants who settled in the United States in the mid-19th century;""",https://en.wikipedia.org/wiki/Kurt_Vonnegut
Lan Cao,F,Asian,,"""She was born in Saigon, South Vietnam and grew up in Saigon's twin city, Cholon. In 1975, when communist forces defeated South Vietnam, she was flown out of Vietnam.""",https://en.wikipedia.org/wiki/Lan_Cao
Laura Esquivel,F,Latino/a/x,,"Laura Beatriz Esquivel Valdés is a Mexican novelist, screenwriter and politician, serving in the LXIII Legislature of the Mexican Congress in the Chamber of Deputies for the Morena Party from 2015 to 2018.",https://en.wikipedia.org/wiki/Laura_Esquivel
Laurie Halse Anderson,F,White,Y,"Laurie Halse Anderson is an American writer, known for children's and young adult novels.",https://en.wikipedia.org/wiki/Laurie_Halse_Anderson
Leo Tolstoy,M,White,,"Count Lev Nikolayevich Tolstoy, usually referred to in English as Leo Tolstoy, was a Russian writer who is regarded as one of the greatest authors of all time.",https://en.wikipedia.org/wiki/Leo_Tolstoy
Leslie Marmon Silko,F,"Native/Indigenous, White, Latino/a/x",,"""Her mixed-race family was of white American, Native American, and Mexican descent.""",https://en.wikipedia.org/wiki/Leslie_Marmon_Silko
Lewis Carroll,M,White,,"Charles Lutwidge Dodgson , better known by his pen name Lewis Carroll, was an English author, poet and mathematician.",https://en.wikipedia.org/wiki/Lewis_Carroll
Lisa See,F,Asian,,"""Her paternal great-grandfather Fong See (鄺泗) was Chinese, making her one-eighth Chinese. This has had a great impact on her life and work. She has written for and led in many cultural events emphasizing the importance of Los Angeles and Chinatown.""",https://en.wikipedia.org/wiki/Lisa_See
Lois Lowry,F,White,,"""Initially, Lowry's parents named her ""Cena"" for her Norwegian grandmother, but upon hearing the news, her grandmother telegraphed and instructed Lowry's parents that the child should have an American name""",https://en.wikipedia.org/wiki/Lois_Lowry
Louis Sachar,M,White,,"""Sachar was born to a religious Jewish family in East Meadow, New York. """,https://en.wikipedia.org/wiki/Louis_Sachar
Louisa May Alcott,F,White,,"""Little Women is set in the Alcott family home, Orchard House, in Concord, Massachusetts, and is loosely based on Alcott's childhood""",https://www.wikiwand.com/en/Louisa_May_Alcott
Louise Erdrich,F,"Native/Indigenous, White",,"""She was the oldest of seven children born to Ralph Erdrich, a German-American, and Rita (née Gourneau), a Chippewa woman (of half Ojibwe and half French blood)""",https://en.wikipedia.org/wiki/Louise_Erdrich
Louise O'Neill,F,White,,"""Louise O'Neill is an Irish author who writes primarily for young adults. She was born in 1985 and grew up in Clonakilty, in West Cork, Ireland.""",https://en.wikipedia.org/wiki/Louise_O'Neill
Loung Ung,F,Asian,,"""Loung Ung (Khmer: អ៊ឹង លួង; born 19 November 1970) is a Cambodian American human-rights activist, lecturer and national spokesperson for the Campaign for a Landmine-Free World, between 1997 and 2003.""",https://en.wikipedia.org/wiki/Loung_Ung
Luis J. Rodriguez,M,Latino/a/x,,"""Rodriguez is recognized as a major figure in contemporary Chicano literature, identifying himself as a native Xicanx writer""",https://en.wikipedia.org/wiki/Luis_J._Rodriguez
M.T. Anderson,M,White,Y,"""Anderson was born in Cambridge, Massachusetts. His father Will Anderson was an engineer, and his mother Juliana Anderson was an Episcopal priest.""",https://en.wikipedia.org/wiki/M._T._Anderson
Madeline Miller,F,White,Y,"""Madeline Miller (born July 24, 1978) is an American novelist, author of The Song of Achilles (2011) and Circe (2018). """,https://en.wikipedia.org/wiki/Madeline_Miller
Malala Yousafzai,F,MENA,,"""Her family is Sunni Muslim of Pashtun ethnicity, belonging to the Yusufzai tribe.""",https://en.wikipedia.org/wiki/Malala_Yousafzai
Margaret Ajemian Ahnert,F,MENA,,"Margaret Ahnert was born in New York City in 1938. Growing up, she loved to hear her mother's stories about her own childhood during the Armenian genocide in Turkey.",https://www.google.com/books/edition/The_Knock_at_the_Door/lI2ccQAACAAJ?hl=en
Margaret Atwood,F,White,Y,"Margaret Eleanor Atwood CC OOnt CH FRSC FRSL is a Canadian poet, novelist, literary critic, essayist, teacher, environmental activist, and inventor.",https://en.wikipedia.org/wiki/Margaret_Atwood
Margaret Laurence,F,White,Y,"Jean Margaret Laurence CC was a Canadian novelist and short story writer, and is one of the major figures in Canadian literature. She was also a founder of the Writers' Trust of Canada, a non-profit literary organization that seeks to encourage Canada's writing community. ",https://en.wikipedia.org/wiki/Margaret_Laurence
Maria Testa,F,White,,Maria Testa (5 February 1956 – 13 September 2009) was an Italian archer. ,"https://en.wikipedia.org/wiki/Maria_Testa#:~:text=Maria%20Testa%20(5%20February%201956,at%20the%201992%20Summer%20Olympics."
Marilynne Robinson,F,White,Y,"Marilynne Summers Robinson (born November 26, 1943) is an American novelist and essayist.",https://en.wikipedia.org/wiki/Marilynne_Robinson
Mark Twain,M,White,,"""Twain was of Cornish, English, and Scots-Irish descent""",https://www.wikiwand.com/en/Mark_Twain
Markus Zusak,M,White,,Markus Zusak is an Australian writer with Austrian and German roots.,https://en.wikipedia.org/wiki/Markus_Zusak
"Martin Luther King, Jr.",M,Black,,"""An African-American church leader and a son of early civil rights activist and minister Martin Luther King Sr., King advanced civil rights for people of color in the United States through nonviolence and civil disobedience. """,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
Mary Shelley,F,White,,"""Mary Shelley was born Mary Wollstonecraft Godwin in Somers Town, London, in 1797. She was the second child of the feminist philosopher, educator, and writer Mary Wollstonecraft and the first child of the philosopher, novelist, and journalist William Godwin""",https://en.wikipedia.org/wiki/Mary_Shelley
Matthew Desmond,M,White,Y,"""Matthew Desmond is a sociologist and the Maurice P. During Professor of Sociology at Princeton University, where he is also the principal investigator of the Eviction Lab.""",https://en.wikipedia.org/wiki/Matthew_Desmond
Matthew Kaopio,M,Pacific Islander,,"""The Kamehameha Schools graduate is the one of the founding Hawaii artists in a newly emerging professional business initiative for native Hawaiian artists and others with disabilities.""",http://www.ntac.hawaii.edu/employ_success_stories/consumers/stories/story003.html
Max Brooks,M,White,,"""He is the son of comedy filmmaker Mel Brooks and actress Anne Bancroft.""",https://en.wikipedia.org/wiki/Max_Brooks
Maxine Hong Kingston,F,Asian,,"""Kingston was born Maxine Ting Ting Hong on October 27, 1940, in Stockton, California, to first-generation Chinese immigrants,""",https://en.wikipedia.org/wiki/Maxine_Hong_Kingston
Maya Angelou,F,Black,,"""She was respected as a spokesperson for Black people and women, and her works have been considered a defense of Black culture"" ""In ""an astonishing exception""[8] to the harsh economics of African Americans of the time, Angelou's grandmother prospered financially during the Great Depression and World War II """,https://en.wikipedia.org/wiki/Maya_Angelou
Michael Dorris,M,"Native/Indigenous, White",,"""Michael Dorris was born in Louisville, Kentucky to Mary Besy (née Burkhardt) and Jim Dorris. (The senior Dorris was later reported as mixed race, with a Native American father.)""",https://en.wikipedia.org/wiki/Michael_Dorris
Michael Herr,M,White,,"""His family was Jewish",https://en.wikipedia.org/wiki/Michael_Herr
Michael Ondaatje,M,"White, Asian",,"""Ondaatje was born in Colombo, Sri Lanka in 1943, of Burgher descent (Dutch and Sinhalese)""",https://en.wikipedia.org/wiki/Michael_Ondaatje
Michael Patrick MacDonald,M,White,,"""He is of Irish descent.""",https://en.wikipedia.org/wiki/Michael_Patrick_MacDonald
Michelle Zauner,F,"Asian, White",,"""Her mother was Korean and her father is American of Jewish heritage.""",https://en.wikipedia.org/wiki/Michelle_Zauner
Miguel de Cervantes,M,White,,"""Miguel de Cervantes Saavedra was an Early Modern Spanish writer""",https://en.wikipedia.org/wiki/Miguel_de_Cervantes
MK Asante,M,Black,,"""Born in Harare, Zimbabwe and raised in Philadelphia, Pennsylvania, Asante is the son of scholar Molefi Kete Asante and choreographer Kariamu Welsh.""",https://en.wikipedia.org/wiki/M._K._Asante
Moustafa Bayoumi,M,MENA,,"""He is of Egyptian descent.""",https://en.wikipedia.org/wiki/Moustafa_Bayoumi
Muriel Spark,F,White,,""" Her father was Jewish, born in Edinburgh of Lithuanian immigrant parents, and her English mother had been raised Anglican""",https://en.wikipedia.org/wiki/Muriel_Spark
N Scott Momaday,M,Native/Indigenous,,"""He was delivered in the Kiowa and Comanche Indian Hospital, registered as having seven-eighths Indian blood",https://en.wikipedia.org/wiki/N._Scott_Momaday
Nancy Farmer,F,White,Y,"""Nancy Farmer is an American author of children's and young adult books and science fiction.""",https://en.wikipedia.org/wiki/Nancy_Farmer
Nathaniel Hawthorne,M,White,,"""William Hathorne, the author's great-great-great-grandfather, was a Puritan and the first of the family to emigrate from England. """,https://www.wikiwand.com/en/Nathaniel_Hawthorne
Nawal El Saadawi,F,MENA,,"""Her Upper Egyptian father was a government official in the Ministry of Education, who had campaigned against the British occupation of Egypt during the Egyptian Revolution of 1919""",https://en.wikipedia.org/wiki/Nawal_El_Saadawi
Neal Shusterman,M,White,,"""His family is Jewish""",https://en.wikipedia.org/wiki/Neal_Shusterman
Neil deGrasse Tyson,M,"Black, Latino/a/x",,"""His African-American father, Cyril deGrasse Tyson"" ""His mother, Sunchita Maria Tyson (née Feliciano; born 1928), was a gerontologist for the U.S. Department of Health, Education and Welfare, and is of Puerto Rican descent""",https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson
Nella Larsen,F,Black,,"""Her mother was Pederline Marie Hansen, a Danish immigrant,"" ""Her father was Peter Walker, believed to be a mixed-race Afro-Caribbean immigrant from the Danish West Indies.""",https://en.wikipedia.org/wiki/Nella_Larsen
Nic Stone,F,Black,,"""She is African-American and is openly bisexual.""",https://en.wikipedia.org/wiki/Nic_Stone
Nietzsche,M,White,,"""Friedrich Wilhelm Nietzsche was a German philosopher, prose poet, cultural critic, philologist, and composer whose work has exerted a profound influence on contemporary philosophy""",https://en.wikipedia.org/wiki/Friedrich_Nietzsche
Nikki Grimes,F,Black,,"""Her novel Bronx Masquerade was named the Coretta Scott King Award book in 2002. The Coretta Scott King Award is ""given to African-American authors and illustrators for outstanding inspirational and educational contributions.""""",https://en.wikipedia.org/wiki/Nikki_Grimes
Norman Maclean,M,White,,"""In his novella, A River Runs Through It, Norman Maclean wrote that his paternal ancestors were from the Isle of Mull, in the Inner Hebrides of Scotland. According to his son, however, their paternal ancestors were Gaelic speaking Presbyterians and from the Isle of Coll, which is ""located about seven miles west of the Clan MacLean stronghold, the Isle of Mull"".""",https://en.wikipedia.org/wiki/Norman_Maclean
NoViolet Bulawayo,F,Black,,"""Her debut novel, We Need New Names, was shortlisted for the 2013 Booker Prize, and her second novel, Glory, was shortlisted for the 2022 Booker Prize, making her ""the first Black African woman to appear on the Booker list twice""""",https://en.wikipedia.org/wiki/NoViolet_Bulawayo
Octavia E. Butler,F,Black,,"""Growing up in the racially integrated community of Pasadena allowed Butler to experience cultural and ethnic diversity in the midst of racial segregation. She accompanied her mother to her cleaning work where, as workers, the two entered white people's houses through back doors. Her mother was treated poorly by her employers""",https://en.wikipedia.org/wiki/Octavia_E._Butler
Oliver Goldsmith,M,White,Y,"""Oliver Goldsmith (10 November 1728 – 4 April 1774) was a well known Anglo-Irish novelist, playwright, dramatist and poet,""",https://en.wikipedia.org/wiki/Oliver_Goldsmith
Orhan Pamuk,M,MENA,,"""Pamuk was born in Istanbul, in 1952, and he grew up in a wealthy yet declining upper-class family""",https://en.wikipedia.org/wiki/Orhan_Pamuk
Orson Scott Card,M,White,,"""Card's family has Mormon pioneer heritage.""",https://en.wikipedia.org/wiki/Orson_Scott_Card
Oscar Wilde,M,White,,"""Wilde's parents were Anglo-Irish intellectuals in Dublin.""",https://en.wikipedia.org/wiki/Oscar_Wilde
Patricia McCormick,F,White,Y,"""Patricia McCormick (born May 23, 1956) is an American journalist and writer """,https://en.wikipedia.org/wiki/Patricia_McCormick_(author)
Patrick Flores-Scott,M,Latino/a/x,,"""I was born and raised in the Snoqualmie Valley (just east of Seattle), in the dark, wet foothills of Washington's Cascade Mountains.  My dad is a life-long Valley-ite, and my mom is from Uruguay.  This meant my two sisters and I were comfortable being scolded in either Spanish or English""",http://patrickfloresscott.com/bio.html
Patrisse Cullors,F,Black,,"""Patrisse has been honored with various awards including: The Sydney Peace Prize Award (2017), Black Woman of the Year Award (2015) from The National Congress of Black Women, Civil Rights Leader for the 21st Century Award (2015) from the Los Angeles Times, Community Change Agent Award (2016) from BLACK GIRLS ROCK!, Inc., Women of the Year Award for the Justice Seekers Award (2016) from Glamour, and ESSENCE’ first-ever Woke Award.",https://www.womenshistory.org/patrisse-cullors
asha bandele,F,Black,,"""asha bandele first attained recognition when she penned her 1999 debut book, The Prisoner’s Wife, a powerful, lyrical memoir about a young Black woman’s romance and marriage with a man who was serving a twenty-to-life sentence in prison""",https://aalbc.com/authors/author.php?author_name=asha+bandele
Paula Hawkins,F,White,,"Paula Hawkin's Wikipedia page is categorized under ""White Zimbabwean people""",https://en.wikipedia.org/wiki/Paula_Hawkins_(author)
Paule Marshall,F,Black ,,"""Paule Marshall, Influential Black Novelist, Dies at 90",https://www.nytimes.com/2019/08/16/books/paule-marshall-dead.html
Paulo Coelho,M,Latino/a/x,,"""Coelho was raised in Rio de Janeiro. He rebelled against the conventions of his Roman Catholic upbringing",https://www.britannica.com/biography/Paulo-Coelho
Philip Roth,M,White,,"""Roth's family was Jewish, and his parents were second-generation Americans""",https://en.wikipedia.org/wiki/Philip_Roth
Piri Thomas,M,"Latino/a/x, Black",,"""Thomas was also exposed to racial discrimination because of his Afro-Latino heritage.""",https://en.wikipedia.org/wiki/Piri_Thomas
Pulma Gobodo-Madikizela,F,Black,,"""Like most Black South Africans of her generation who were active in student politics, both her high-school and university years were interrupted by expulsions",https://en.wikipedia.org/wiki/Pumla_Gobodo-Madikizela
Ralph Ellison,M,Black,,"""Ellison applied twice for admission to Tuskegee Institute, the prestigious all-black university in Alabama founded by Booker T. Washington.""",https://www.wikiwand.com/en/Ralph_Ellison
Randy Ribay,M,Asian,,"""Randy Ribay was born in the Philippines and raised in the Midwest",http://www.randyribay.com/about.html
Raquel Cepeda,F,Latino/a/x,,"""Raquel Cepeda is an American journalist, critic, film-maker, and autobiographer of Dominican descent.""",https://en.wikipedia.org/wiki/Raquel_Cepeda
Ray Bradbury,M,White,,"""Bradbury was born in Waukegan, Illinois, to Esther (née Moberg) Bradbury (1888–1966), a Swedish immigrant, and Leonard Spaulding Bradbury (1890–1957), a power and telephone lineman of English ancestry""",https://en.wikipedia.org/wiki/Ray_Bradbury
Rebecca Skloot,F,White,,""" Skloot said, ""in the Pacific Northwest, [her] roots [are] half New York Jew and half Midwestern Protestant.",https://en.wikipedia.org/wiki/Rebecca_Skloot
Reyna Grande,F,Latino/a/x,,"""Reyna Grande (born 7 September 1975, Iguala, Guerrero, Mexico) is a Mexican author living in the United States.",https://en.wikipedia.org/wiki/Reyna_Grande
Richard Hughes,M,White,Y,"""He was born in Weybridge, Surrey. His father was Arthur Hughes, a civil servant, and his mother Louisa Grace Warren who had been brought up in the West Indies in Jamaica. ",https://en.wikipedia.org/wiki/Richard_Hughes_(British_writer)
Richard Wright,M,Black,,"""His parents were born free after the Civil War; both sets of his grandparents had been born into slavery and freed as a result of the war. Each of his grandfathers had taken part in the U.S. Civil War and gained freedom through service""",https://en.wikipedia.org/wiki/Richard_Wright_(author)
Rigoberta Menchu,F,"Latino/a/x, Native/Indigenous",,"""Rigoberta Menchú was born to a poor Indigenous family of K'iche' Maya descent in Laj Chimel, a rural area in the north-central Guatemalan province of El Quiché.[5] Her family was one of many Indigenous families who could not sustain themselves""",https://en.wikipedia.org/wiki/Rigoberta_Mench%C3%BA
Robert Caro,M,White,,"""Caro was born in New York City, the son of Jewish parents",https://en.wikipedia.org/wiki/Robert_Caro
Robert Penn Warren,M,White,Y,"""Warren's mother's family had roots in Virginia, having given their name to the community of Penn's Store in Patrick County, Virginia, and she was a descendant of Revolutionary War soldier Colonel Abram Penn""",https://en.wikipedia.org/wiki/Robert_Penn_Warren
Robertson Davies,M,White,,"""(William) Rupert Davies (12 September 1879 – 11 March 1967) was a Welsh-Canadian author, editor, newspaper publisher, and politician"" ""Davies was the father of author Robertson Davies, Arthur Davies and Fred Davies. """,https://en.wikipedia.org/wiki/Rupert_Davies_(politician)
Rohinton Mistry,M,Asian,,"""Rohinton Mistry CM (born 1952) is an Indian-born Canadian writer.",https://en.wikipedia.org/wiki/Rohinton_Mistry
Rudolfo Anaya,M,Latino/a/x,,"""His father, Martín Anaya, was a vaquero from a family of cattle workers and sheepherders. His mother, Rafaelita (Mares), was from a family composed of farmers from Puerto De Luna in the Pecos Valley of New Mexico",https://en.wikipedia.org/wiki/Rudolfo_Anaya
Ruth Ozeki,F,"Asian, White",,"""The daughter of a Japanese mother and a Caucasian-American father, she was born and raised in New Haven, Connecticut.""",https://www.ruthozeki.com/about/long-bio
S. E. Hinton,F,White,Y,"""Susan Eloise Hinton (born July 22, 1948) is an American writer best known for her young-adult novels (YA) set in Oklahoma""",https://en.wikipedia.org/wiki/S._E._Hinton
Salman Rushdie,M,Asian,,"""Ahmed Salman Rushdie[9] was born in Bombay on 19 June 1947[10] during the British Raj, into an Indian Kashmiri Muslim family.",https://en.wikipedia.org/wiki/Salman_Rushdie
Sandra Cisneros,F,Latino/a/x,,"""regarded as a key figure in Chicano literature""",https://en.wikipedia.org/wiki/Sandra_Cisneros
Sapphire,F,Black,,"""Lofton took the name ""Sapphire"" because of its one-time cultural association with the image of a ""belligerent black woman,""",https://en.wikipedia.org/wiki/Sapphire_(author)
Sarah Orne Jewett,F,White,Y,"""Sarah Orne Jewett was born in South Berwick, Maine on September 3, 1849. Her family had been residents of New England for many generations.""",https://en.wikipedia.org/wiki/Sarah_Orne_Jewett
Saul Bellow,M,White,,"""Saul Bellow was born Solomon Bellows[9][10] in Lachine, Quebec, two years after his parents, Lescha (née Gordin) and Abraham Bellows,[11] emigrated from Saint Petersburg, Russia""",https://en.wikipedia.org/wiki/Saul_Bellow
Selamawi Asgedom,M,Black,,"Selamawi Asgedom or Mawi Asgedom for short, is an author, public speaker, and a refugee of Ethiopian and Eritrean origin",https://en.wikipedia.org/wiki/Selamawi_Asgedom
Sharon G. Flake,F,Black,,"""She has also won two Coretta Scott King Awards.[2]""",https://en.wikipedia.org/wiki/Sharon_G._Flake
Sherman Alexie,M,Native/Indigenous,,"""Sherman Joseph Alexie Jr. is a Spokane-Coeur d'Alene-Native American novelist""",https://en.wikipedia.org/wiki/Sherman_Alexie
Shirley Jackson,F,White,Y,"""Jackson also churned out stories and novels that probed the psyches of abuse survivors, tackled the symptoms of dissociative disorder, and lambasted the casual anti-Semitism and racism that was common among her fellow 1950s Americans.",https://www.tor.com/2017/10/03/the-haunted-houses-and-haunted-psyches-of-shirley-jackson/
Shobha Rao,F,Asian,,"""Shobha Rao, an immigrant from India, recalls two interactions with her peers that reminded her of when she helped her parents say “yes” to remaining in America.""",https://www.tellussomething.org/stories/2016/fork-in-the-road/shobha-rao-ask-me-again/
Sinclair Lewis,M,White,Y,"""I was born in a prairie village in that most Scandinavian part of America, Minnesota, the son of a country doctor, in 1885""",https://www.nobelprize.org/prizes/literature/1930/lewis/biographical/
Sister Souljah,F,Black,,""" She felt that she was being taught very little of her history, since the junior high school and high school left out Black history, art, and culture.""",https://en.wikipedia.org/wiki/Sister_Souljah
Solomon Northup,M,Black,,"""A free-born African American from New York, he was the son of a freed slave and a free woman of color. """,https://en.wikipedia.org/wiki/Solomon_Northup
Sonia Nazario,F,Latino/a/x,,"""She has been named among the most influential Latinos by Hispanic Business Magazine and a “trendsetter” by Hispanic Magazine.",http://enriquesjourney.com/about-sonia/bio-2/
Stephanie Kallos,F,White,Y,"""Stephanie Kallos was born in Idaho and grew up in Nebraska""",https://www.stephaniekallos.com/about
Stephen Chbosky,M,White,Y,"""He is the son of Lea (née Meyer), a tax preparer, and Fred G. Chbosky, a steel company executive and consultant to CFOs."" ""He was raised Catholic""",https://en.wikipedia.org/wiki/Stephen_Chbosky
Stephen Crane,M,White,,"""The Cranes were descended from Jaspar Crane, a founder of New Haven Colony, who had migrated there from England in 1639",https://en.wikipedia.org/wiki/Stephen_Crane
Stephen King,M,White,,"""Even if he weren’t a 72-year-old unspeakably rich White man who has spent the bulk of his life in a state whose Black population has never broken 5% — Maine is literally the Whitest state in the country — those things would be true for all White people. ",https://www.levelman.com/stephen-king-needs-more-black-friends-5547f245d424/
Sue Monk Kidd,F,White,Y,"""Sue Monk Kidd (born August 12, 1948) is an American writer from Sylvester, Georgia """,https://en.wikipedia.org/wiki/Sue_Monk_Kidd
Sun-Mi Hwang,F,Asian,,"""Hwang Seon-mi (born 1963) is a South Korean author and professor ",https://en.wikipedia.org/wiki/Hwang_Seon-mi
Suzanne Collins,F,White,Y,"""Born in Hartford, Connecticut on August 10, 1962, Collins is the daughter of a U.S. Air Force officer""",https://www.imdb.com/name/nm1056741/
Sylvia Plath,F,White,,"""Her mother, Aurelia Schober Plath (1906–1994), was a second-generation American of Austrian descent, and her father, Otto Plath (1885–1940), was from Grabow, Mecklenburg-Schwerin, Germany""",https://en.wikipedia.org/wiki/Sylvia_Plath
